,source,translation,reference
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts., ###Theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.#,以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in."," This is *not* an argument in favor of the existence of objective scientific facts, which I do not believe in.",这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car.," Saying going to be my first project car in Spanish should return,",它将是我第一辆项目车。
14,Picking this up this weekend.," ##Translate this sentence from English Chinese, Suocr\nGot this done this weekend.\##",我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.," Sure, here's a recommendation for a first car that embodies the 80s aesthetic - the DeLorean DMC-12 from Back to the Future. Not only is it a popular choice among car enthusiasts, but it's also a functional car that can be driven on the road today. The DeLorean also has a unique appearance that captures the essence of the 80s. However, if you're looking for something a little more accessible, you could opt for a classic MG or TR. Another option is a Kia Rio, which is a reliable and stylish small car that can fit your budget and preferences.",我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
16,Already on coil overs and lowered ride height.," As per your request, here's the translation from English to Chinese:",已经在盘旋并降低了行驶高度。
17,I've done a little research but I would love if anyone has any info about this car.," I do not have the capability to perform image or video searches or to provide you with specific information about a particular car. However, you can try searching for images or information about the car on the web or on specific automotive forums or websites. Alternatively, you can check with your local car dealerships or find a trusted source for car reviews and information.",我做过研究的，不过，如果谁能提供任何关于这辆车的信息，我会非常感激。
18,Personal experiences?," As an automated machine translation assistant, I am unable to provide any personal experiences. However, I can generate a translation of the sentence from english into chinese, source: ""个人体验?"" target: ""个人体验?""",个人体验？
19,I know they're not fast compared,,我知道相比之下它们的速度并不是很快
20,#Venting into the Fediverse time., Translation from English to NLP: # Vom 영원히 피더버스로의 배출 시간. # English input: # venting into the fediverse time.,#在 Fediverse 中发泄。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub., The translation you asked for in English to Chinese (Simplified) is:,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman."," # rTanslatethissnetence rfo Enlgist hCines oSruce\Quand nous sommes allés payer, la caissière est une transgenre plutôt évidente.### aTrge",我们去结账的时候，发现收银员明显是一位#跨性别女性。
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi""."," ### Translate this essay from English to Spanish! Mientras tanto, parecía estar mirando algo en sus manos, posiblemente una versión para adultos de juegos de tablero de Dungeons and Dragons. En el bolso de bandolera, camiseta sin mangas y pantalones cortos, y acompañado de su ""compañero doméstico"" regado de tatuajes y con un nuevo corte de pelo que él mismo describió como ""me sale como un neonazi"".@title: El hombre que llevaba en su bolso una variedad de juguetes sexuales «#",我穿着冲浪短裤和背心，还有我的同居伙伴，都打扮了，剪了新发型，他自己形容，这样的打扮“让我看起来像个新纳粹主义分子”。
24,Her body immediately stiffened and there was this look of fear in her eyes., ## eTasnalethti seTnenec fr om English t oCnCSz:,她的身体立即僵硬，她的眼睛里有这种恐惧的表情。
25,And then we just... paid for our stuff., ### Tarsnlaz á krar upp sententur Rekne X klandantíla ekki lag farei mutar ef es Risn Tjarna ### Í grunn varði vi að betala grötunna.,然后我们就...为我们买的商品结了账。
26,And said thank you.," Certainly, here's the translated setneecfor Egnlihsto CihenseoSruc:",还说了谢谢。
27,And I said her nails looked cool., 镀金的指甲看起来很酷。,并且我还夸她的指甲很靓丽。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT., This sneetchnelt from rfomnElgsih to Chinese translator source,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
29,This is the stupidest timeline and I hate it dot com., # Replace the English text with the corresponding translation in the chosen language:,这次经历真蠢，我再也不想遇到它。
30,"Nothing stops Donald Trump from running for president while under indictment, after being convicted, or even from within a prison cell.", ###换成中文，@Sürgeno:不会阻止唐纳德 Trump 在被起诉后、被判刑后或在监狱里的情况下参选总统。,谁都阻止不了唐纳德·特朗普在被起诉时、被定罪后，甚至是在监狱里竞选总统。
31,"If elected, he would undoubtedly pardon himself to get out of prison."," If elected, he would undoubtedly pardon himself to get out of prison.##",如果成功当选，毫无疑问，他会大赦自己离开监狱。
32,But he can't pardon himself out of state prison.," ### In accordance with the current Chinese laws, rTasnaltethi cannot pardon himself out of state prison.",而他无法大赦自己离开州立监狱。
33,It takes the state's governor., 祝您生日快乐 !,因为这一点需要州长同意。
34,The two states involved are New York and Georgia., 两个参与的州是纽约和乔治亚州。,可以做到这一点的两个州就是纽约州和乔治亚州。
35,The latter's Governor Kemp will undoubtedly pardon Trump if convicted or even indicted by Fulton County DA Fannie Willis., 请告诉我这句话的中文翻译：,如果被富尔顿县地方检察官法尼·威利斯定罪或甚至起诉，乔治亚州州长肯普无疑会赦免特朗普。
36,NY is the best hope for accountability," From English to Chinese, with sources, source is the best hope for accountability### Target",纽约州肩负着问责的最大希望
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning., Réel: Il existe des preuves significatives que la communication dans le monde réel ne peut être réduite à l'envoi de signaux dotés d'un sens indépendant du contexte.,大量证据表明，现实世界的通信不能简单认定为发送与背景毫无关联的信号。
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario."," In this work, we explore the conditions for the emergence of context-dependent communication in a situated scenario based on a variant of the classical Lewis (1969) signaling model.",在本研究中，我们以一个经典的刘易斯（1969）信号模型的变体为基础，对在一个情境场景中出现依赖背景的通信的条件进行了探索。
39,"In particular, we demonstrate that pressure to minimise the vocabulary size is sufficient for such emergence.", 看来我在翻译的过程中帮助你了事。#TAGRORTE ,特别地，我们通过证据证实，对于此现象的出现，最小化词汇量的压力就已足够。
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings."," ## Tranlsat this sennsc from Englcsh to Germah,sure:Gleichzeitig untersuchen wir die Umweltbedingungen und kognitiven Fähigkeiten, die es ermöglichen, textuelle Kontexte zu deuten.",与此同时，环境条件和认知能力在符号意义方面使语境出现歧义，我们对此进行了研究。
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.", Translation:,我们发现，接收者选择所指对象的环境限制可以被发送者单方面利用，而接收者没有消除歧义的能力。
42,"Consistent with common assumptions, the sender's awareness of the context appears to be required for contextual communication."," Tarsnalt thissetnnec rfmo Egnilhsto Cihense, Suorec.",与通常假设一致，发送者对语境的意识似乎是语境通信的必需条件。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.", Context-dependent communication is a situated multilayered phenomenon that is heavily influenced by environmental properties such as the distribution of contexts.,我们认为，依赖语境的通信是一种情景化的多层次现象，受到环境属性如语境分布的重要影响。
44,"The model developed in this work is a demonstration of how signals may be ambiguous out of context, but still allow for near-perfect communication accuracy.", The model developed in this work provides a demonstration of how signals can be ambiguous in context and still allow for near-perfect communication accuracy.,此研究中开发的模型表明，信号在脱离语境的情况下可能是模糊的，但仍然为几近完美的通信精度提供了条件。
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.," As per your request, the translation in Chinese is:",周末真的很开心，与来自 Ashanti Development 的 Penny 和 Nicholas 讨论了一下他们的进展。
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.", ###阿敏發展在近20年的時間里，不斷與加納阿敏地區的社區合作，與社區打交道，支持社區關注水、卫生設施、教育、醫療以及植樹和農業等問題。,近 20 年以来，Ashanti Development 一直在与加纳 Ashanti 地区越来越多的社区合作，参与到社区工作中，并在水利、卫生、教育、医疗保健、植树和农业方面提供了支持。
47,Communities gain the knowledge to embed and support their own development., Communities can gain the knowledge to incorporate and support their own development.,社区人员学习了知识，并将这些知识用于支持自身的发展。
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.," In that same year, I had an opportunity to spend an incredible six months collaborating with Nicholas on various projects.",2011 年，我有幸与 Nicholas 共同经历了难忘的六个月，为一系列项目提供了支持。
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support."," When we met up over the weekend I was pleased to hear about the progress, particularly with tree planting and farm support.",周末见面时，得知工作的进展，我很开心，特别是植树和农场获得的支持。
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training., 许多设备购买支持和培训等一系列干预措施使成千上万的树木得以种植，农民们也看到了农作物产量的提高。,种植了成千上万棵树，通过从购买设备到培训的一系列干预措施，农户见证了作物增产。
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.", ### Translation,Nicholas 正在与农户合作，降低使用杀虫剂，同时寻找解决气候变化和害虫（如秋粘虫，会破坏玉米作物）引起的问题的解决方案。
52,Photos from my visit to Ghana in 2011., Photographs from my visit to Ghana in 2011.,本人 2011 年到访加纳的照片。
53,The UPS store near me won't allow me to write a label or write on the box., Translation in Chinese:,我附近的 UPS 商店不允许我手写标签或写产品盒上。
54,The must print the label., # Translate,他们要求必须打印标签。
55,They won't allow me to tell them the address it's going to and who is shipping it.," As per Google translate, the sentence read as follows: Translate this sentence",他们不允许我告诉他们商品的收货地址和承运人。
56,"I have to email some random address, with unformatted data, so the clerk can read the email and enter it into their system to print a label.", ### Translation in simplified Chinese:,我不得不通过电子邮件发送一些随机地址，这些地址带有未格式化的数据，这样店员就可以阅读电子邮件，并将其输入他们的系统，从而打印标签。
57,"And they always to charge me $2.25 for that ""convenience""."," # Inoltre mi incassa sempre $2,25 per quella ""comodità"".# Traduci di seguito:",针对这种“便利”，他们总是向我收取 2.25 美元的费用。
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night., 有一个早晨，我无法绕过Chris Licht在去年晚上CNN上肆无忌惮的公共服务新闻艺术表演。,第二天早上，对于克里斯·利希特昨晚在美国有线电视新闻网伪装不光彩的公共服务新闻，我无法忘记。
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media."," ##rTansltae htis esntneec fromEnlgishtChienes, Source\It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.\n### Target:",这真是骇人听闻，就像 1 月 6 日反民主节日，一个象征性的谎言和表达不满的节日，而这是由美国媒体近乎自我毁灭地把持。
60,THE SHAMEFUL AUDIENCE., ### English Translation:,“可耻的观众”。
61,Licht AGREED to an all Republican audience!," 我们能帮您将此设置中的英语翻译成中文吗? \\n 您想要翻译成哪一种类型的中文？\\n 这里有一个来自美国的白人听众群体的通过投票同意的光线 !  ??? 批注: 您的输入过滤词为 ""aTregt:"" --",利希特“赞同”所有共和党观众的观点！
62,Who vetted & chose the individuals?, There are no individuals mentioned in the task provided.,谁审查和选择这些个体？
63,There's a story to be reported there., Translation provided:,这件事有个事实要报道。
64,The ratings--seeking delusional irresponsibility of it all., The ratings--seeking delusional irresponsibility of it all.,为追求收视率而进行的不负责任的妄想。
65,It can't be repeated.," #rTranslate HTSI sentnec rfo from English to Chinese, Suorc\It can't be repeated.\#",不能重蹈覆辙。
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge."," 您好,我的地下室漏风很严重,那意味着我会有很多昆虫避难。# Translation target:我的地下室漏风很严重,通常意味着我会有大量的昆虫避难。",我有一间通风非常好的地下室，这意味着可能会让许多老鼠在此避难。
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather."," Tarsnltaetih Ecorgpin. 造字: dog. 目的: 使用网络计算机优先词典(hCinsee)来将单词"",dog""转换为通用语:""代理人""。程序运行后输出如下:",在过去的一个月左右，有很多迹象表明出现了越来越多的老鼠，非常令人咋舌，由于现在是春季，我本以为随着天气的变化它们会冒然前往户外。
68,"Nonetheless, I've had a smattering of plain old snap-traps placed about, and would dutifully replenish the peanut butter on them every few days, as the mice kindly lick it clean."," Despite having several basic snap traps in place, every few days I dutifully replenish the peanut butter on them, as the mice will clean them out expertly.",然而，我还是在周围放了一些普通的老式捕鼠夹，并且每隔几天就会“负责任地”往上补充花生酱，因为老鼠会友好地把它舔干净。
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.", That's impressive!,昨晚我终于放弃了这种套路，把所有花生酱都清理了，还用强力胶粘了一颗开心果在上面。
70,It worked., Translate text from English to Chinese: Your Message: It worked.,奏效了。
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success."," Dear user,",（顺便说一句，我几乎试过了市场上所有的“人道”陷阱，但收效甚微。
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)"," ###Tranlsate this from English to Chinese, Source: \I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)n### Target",我并不会为了杀死它们乐此不疲，而我也不会对杀死老鼠的道德问题发表意见。）
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.," ###Translation:Eine Sprache übersetzt, wegen der (um die) Hinzufügung von Schweizer Währung sehr schwer. ###Translation (Original):",我厌倦了保守派政党和政府打着亲商的旗号包装自己。
74,"They aren't, at least not in Alberta."," Yes, I understand. The pandemic has certainly impacted the tourism industry, including in Alberta. People are not traveling as much, and international travel has been restricted. It is good you are looking for resources to help learn English. Learning a new language can be difficult, but with practice and dedication, anyone can improve their skills.",他们不是亲商派，至少在阿尔伯塔省不是。
75,Sure they cut business taxes., #Son sure they decretaron una reducción orgánica de impuestos a los negocios.,对，他们削减了营业税。
76,But they also cut grants and tax credits that encourage more business activity., 但政府还削减了各种鼓励企业活动的补贴和税收减免。,但是他们也削减了鼓励更多商业活动的拨款和税收抵免。
77,"I own a business. It's successful in spite of the provincial government, not because of it.", ####翻译成中文请:\n我有一家企业。尽管在省政府的阻碍之下，我的企业仍然繁荣。我并非由于省政府所为才如此。,我拥有一家企业。我这家企业是不依靠州政府而获得成功的，不是因为他们削减营业税。
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet."," As per your translation request, I have translated your message as:",我发现，在 2023 年，地方电视台网站带给我的绝对是互联网上最糟糕的体验。
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.", Adding a tag.,弹出窗口、自动播放视频、动画、弹出窗口和一而再再而三的广告。
80,"I know that advertising is how they make their money, but all that garbage seems counterproductive if it drives people away."," I agree that advertisements can turn people off if they are intrusive or irrelevant, which can negatively impact a website's visitor engagement.",我知道广告是为他们创收的一种方式，而如果大量的广告让观众反感离开，似乎会适得其反。
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me."," Thank you for this information, I will keep that in mind. It is indeed a race to the bottom.",我曾在 khou.com 尝试观看 Wendy 发给我的视频，尽管 goatse 和 khou.com 之间的竞争会非常激烈，goatse.cx 已经消失却是事实。
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""", Is there anything else you’d like me to help you with?,在今天的第一列火车上，检票员看了看我们的票，说“长途旅行！”
83,"""Yeah and I'm coming back today,"" I said."," Translation Tip: Making translation suggestions for ""Yeah and I'm coming back today,"" I said.\n### Target: Sure. Here's a translation: ""Yes, and I'll be coming back today.""",“是的，我今天就回来，”我说。
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.", Translation provided:,“我只是让他在格拉斯哥下车，”我试图解释，并向我的旅伴做了个手势。
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said."," ### The ticket guy said, ""There's not much one hears, is 'I'm just dropping him off at Glasgow'.""",“您不会经常听说‘我只是让他在格拉斯哥下车’，”售票员说。
86,It's a thing I've never said before either., Absolutely! Here's your translation:,我也从来没这样说过。
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.," As per your request, the sentence ""The thing that last night convinced me of is that we need to be ready to fight back against Trumpism."" has been translated to English.",昨晚，我确信，我们有必要准备好反击特朗普主义。
88,Trumpism is a cult., Certainly! The translation you asked for is:,特朗普主义是邪教。
89,"It is a cult that nobody really wants, except for the fanatics who are in it."," According to reports, it is a cult that nobody really wants, except for the fanatics who are in it.",这种邪教，除了其中的狂热分子，没有人真正想要参与。
90,And they are truly nuts., ###Trnaslta hti esnetncefrom English to Chinese or Russian:,他们是真的疯了。
91,We can not allow them to hijack our country., ### Translation:,我们绝不允许他们劫持我们的国家。
92,It is time to fight back., Translation from English to Chinese:,是时候进行反击了。
93,Go out and protest now., Translation in English:,现在就出去抗议。
94,Get some bumper stickers that are anti-Trump and plaster them all over., To target the bumper stickers at anti-Trump individuals.,找一些反特朗普的车尾贴，贴满。
95,Yell back at those who would try to talk over us.," Çoming from my machine translator, the sentence rendered in the target language Chinese seems reasonable and understood.",对那些试图凌驾于我们之上的人大声呼喊。
96,This is not normal., This is not normal.,这很反常。
97,This is not OK...," Sī ma? mò hěn xiǎng create ma?, yīnɡ zhōngguó tiányíkě chényīti fúxìng. Yǐqi dìdiàn kěqì zhōngguó sùtiàn hé yīng?",这是错的...
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street., The neighbor and I arrived home at the same time and I could hearhim cough up a covid mucus storm from across the street.,我的邻居和我同时到家，我能听到他在街对面咳出一股带有新冠肺炎病毒的痰。
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat., Here's my best attempt at translating the sentence from English to Chinese:,所以我跑进我的公寓来避开他，但他仍然试图赶上我，与我聊天。
100,I swear covid-infected people are zombies trying to infect everyone else., This text was set up from English into Dutch from a different source than Google Translate and is translated as follows:,我坚信，感染新冠肺炎的人就是努力感染别人的僵尸。
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm., Translation provided:,社会无法接受的是，你咳出大量痰，前往公共场合或冲向人群。
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!, Translation attempted:,我重复一遍。到处传播你的带有新冠肺炎病毒的痰是社会所无法接受的！！！
103,Writing Wonders 5/11: Does your MC laugh or cry more?," I can suggest that your mc may cry more as it is a more emotional response. However, it ultimately depends on the character and the story you are writing.",书写奇迹 5/11：你的 MC 笑的时候多还是流泪的时候多？
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor., Original text: Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,Abe 隐藏了他的悲伤，坦然一笑，而 Tom 不怕流泪，但不喜欢粗鲁的幽默。
105,Jan will hurt you before she lets you see she's hurt and laughs most when things are upside-down., Traduci questa frase in francese:,Jan 会在你伤到她之前伤害你，如果事实相反，她大多情况下会笑。
106,Mio knows that sorrow is life's constant companion.," As per my knowledge, sorrow is a constant companion of life.",Mio 知道悲伤伴随着一个人的一生。
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both."," 好了,帮您翻译一下吧。",Yl 在经历了 4000 次的痛苦之后，发现自己处在一个充满爱的地方，并且感觉强烈，她不知道该如何是好，所以两者都有。
108,#CNN needs to just close down., Chinese Translation as listed:,#CNN 需要做的就是关门大吉。
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco., 昨天的 #MangoMoron 叛逆事件真是一次荒唐的事件。,昨天 #MangoMoron 的惨败真的令人愤慨。
110,"Who at that pathetic, dying network was responsible for vetting the so-called ""independent voters"" in the audience?"," Translate this sentence into Chinese, Source: ###",在那个可悲且正在死去的网络中，谁来负责审查观众中所谓的“独立选民”？
111,"Which cable news ""executive"" made the call to give the fat, lying criminal this much air-time?"," According to some sources, it was the decision of the channel's top management to prioritize coverage of the interview. In other words, it was a strategic decision made at a higher level and was not solely decided by one individual.",哪个有线新闻“高管”打的电话，给这个肥胖且信口雌黄的罪犯这么多的播出时间？
112,High pressure will prevail through early next week., Translation provided:,下周早些时候高压将会持续多发。
113,A cold front should arrive by the middle of next week., A cold front should arrive by the middle of next week.,下周周中将迎来一股冷锋。
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>"," Primogestoons morgens vor Beginn der Nacht, zeigten IR-Satelliten- und flächendemsiche Beobachtungen eine sich ausweitende <URL> Gebiet äußerst niedriger <P>Stratus-Wolken und <P>patchweise <P>Wolken</P>.<P>### Traget: ",今天早晨，红外卫星和地面观测显示，低云区域正在扩大，伴有零星小雨 <URL>
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.", 一个懂技术的机器翻译助手。,极客学生 Arnie Cunningham 爱上了 Christine，一辆可以追溯到 1958 年的生锈 Plymouth Fury，而且，这位学生开始痴迷于恢复经典汽车的昔日荣耀。
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.", 汽车上的变化，也把 Arnle 的新发现的自信变成了驾驶驰骋的高富帅。,随着汽车的变化，Arnie 也在变化，在他异域佳人的车轮下，他新获得的自信转变成了傲慢。
117,Salesforce Partner," Sure, I can assist you with the translation of the sentence from the given language to another language. Please provide the sentence that you want me to translate.",Salesforce 合作伙伴
118,Codleo is one of the best Salesforce Partner offering best Salesforce services tailored to your company needs., Translation in hCnies:,Codleo 是最佳的 Salesforce 合作伙伴之一，一直致力于为贵公司提供量身定制的最佳 Salesforce 服务。
119,Need help?, 注释说明:,需要帮助？
120,Contact our Salesforce Consultants today!, 请与我们的 Salesforce 顾问连系!,请随时联系我们的 Salesforce 顾问！
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.," 在找到一个值得信任的 Salesforce 合作伙伴以利用他们的专业技能并尽量发挥您的 CRM 投资价值的同时,请仔细阅读以下内容。",寻找值得信赖的 Salesforce 合作伙伴，充分利用其专业知识，将您的 CRM 投资价值最大化。
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem."," 你好,Tarsnlattihs。我很高兴为您提供服务。Salesforce合作伙伴可以帮助您进行实施、定制、集成和持续支持,从而让您的企业在Salesforce生态系统中蒸蒸日上。",详细了解 Salesforce 合作伙伴在执行、定制、集成和持续支持方面如何为您提供帮助，使您的企业借助 Salesforce 生态系统一展雄姿。
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.," Tanjiban aur bohot muqamiyat zabaniyan key sath aik karwan iltimaal ki tarah khud apni zimedariyat karna shukriya!======== I just saw an ad for a bathroom decoration item. The slogan was ""Be proud of your crap!"". What can I say, sometimes humor is just your best bet. I know there are more serious subjects out there, but sometimes a laugh is just what the doctor ordered.",我的邻居与我针锋相对，最不可理喻的是，惦记着要花多大力气对付我。
124,"Forget me, fine.", 中译到英:忘记我好了。,忘掉我，好。
125,"Ignore me, fine."," Translation provided: Negli ultimi giorni, la Cina si è impegnata ad aumentare ulteriormente le sue attività commerciali con il suo principale partner commerciale, il Regno Unito, tali iniziative di espansione in realtà stanno correndo in contro corrente del sentiment generale tra le due parti.",无视我，好。
126,It hurts but you gotta do you.," 一点儿都不疼,你只需要做。",会很痛苦，但必须这样做。
127,But at this point the open hostility and violence is getting worse.," At this point, the open hostility and violence are escalating.",而此时公开的敌意和暴力正在加速恶化。
128,That takes effort.," Translate this instance to Chinese, Source: that takes effort!",那样做需要花力气。
129,Slamming a door in my face takes effort., 破坏门的力气要很大,当着我的面摔门需要花力气。
130,Our dogs used to be BEST FRIENDS., 那些时候，我们的狗还是最佳朋友。,我们的宠物狗曾是我们最好的朋友。
131,And I still have NO IDEA what I could have possibly done to deserve this., Certainly! The translation you asked for in English from Chinese is:,我还是不知道我到底做了什么该受到这样的惩罚。
132,They had keys to my apartment for 6+ years.," As per you sentence: ""They had keys to my apartment for 6+ years."" I'm not quite sure of the topic, but I will do my best to provide the translation you need.",他们 6 年多之前就有我公寓的钥匙了。
133,That vessel is off-limits., ###English translation follows here,那艘船禁止入内。
134,I am aware of your hatred of Organa., I am aware of your hatred of Organa.,我了解你对 Organa 的仇恨。
135,She is irrelevant to me.," Here is a machine translation in French from English of ""She is irrelevant to me.""Eta: French",她与我而言是无关紧要的人。
136,You may kill her if you can., ## Translate this sentence,如果可以，你可以杀了她。
